CONTENT,PREDICTED_CLASS
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",SPAM COMMENT
watch?v=vtaRGgvGtWQ   Check this out .﻿,SPAM COMMENT
Subscribe to my channel ﻿,SPAM COMMENT
Hey subscribe to me﻿,SPAM COMMENT
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,SPAM COMMENT
subscribe like comment﻿,SPAM COMMENT
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",SPAM COMMENT
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",SPAM COMMENT
subscribe to my channel people :D﻿,SPAM COMMENT
marketglory . com/strategygame/andrijamatf earn real money from game,SPAM COMMENT
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,SPAM COMMENT
"Subscribe to me for free Android games, apps.. ﻿",SPAM COMMENT
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",SPAM COMMENT
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,SPAM COMMENT
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",SPAM COMMENT
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",SPAM COMMENT
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,SPAM COMMENT
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,SPAM COMMENT
http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,SPAM COMMENT
....subscribe......  ......to my........  .....channel.......﻿,SPAM COMMENT
Plz subscribe to my channel and I will subscribe back xx﻿,SPAM COMMENT
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,SPAM COMMENT
https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,SPAM COMMENT
Subscribe and like to me for more how to videos on minecraft!﻿,SPAM COMMENT
Subscribe ME!﻿,SPAM COMMENT
plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,SPAM COMMENT
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",SPAM COMMENT
"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",SPAM COMMENT
"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",SPAM COMMENT
http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,SPAM COMMENT
"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",SPAM COMMENT
Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,SPAM COMMENT
"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",SPAM COMMENT
Anybody who subscribes to me will get 10 subscribers﻿,SPAM COMMENT
"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",SPAM COMMENT
subscribe to itz recaps and above diddle﻿,SPAM COMMENT
need money?Enjoy https://www.tsu.co/emerson_zanol﻿,SPAM COMMENT
please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,SPAM COMMENT
8 million likes xD even the subscribers not 8 million xD﻿,SPAM COMMENT
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,SPAM COMMENT
