CONTENT,LABEL
Subscribe now for free gifts!,spam
"Great video, very informative!",not_spam
Click this link to win a prize!,spam
Thanks for the helpful tutorial.,not_spam
"Limited time offer, buy now!",spam
"Nice work, I learned a lot.",not_spam
Earn money quickly with this method!,spam
"Awesome content, keep it up!",not_spam
Visit our website for discounts!,spam
"Really enjoyed this video, thanks!",not_spam
Buy cheap followers here!,spam
Excellent explanation and well presented.,not_spam
Get your free trial today!,spam
"Super helpful tips, thank you!",not_spam
"Act fast, sale ends soon!",spam
"Brilliant tutorial, very clear.",not_spam
Claim your cash prize now!,spam
This is the best video on this topic.,not_spam
Win big with our exclusive deal!,spam
"Happy to have found this, great job!",not_spam
Join now and save big!,spam
"Perfect content, very useful.",not_spam
Don't miss this limited time offer!,spam
"Fantastic insights, well done!",not_spam
"Risk-free investment, sign up!",spam
"Excellent content, thanks for sharing.",not_spam
"Get rich quick, no effort needed!",spam
Very clear and easy to understand.,not_spam
"Subscribe now, don't miss out!",spam
"Good job, learned a lot from this.",not_spam
